c_kincode,c_kin_pair1,c_kin_pair2,c_kin_pair_notes,c_kinrel_chn,c_kinrel,c_kinrel_alt,c_pick_sorting,c_upstep,c_dwnstep,c_marstep,c_colstep
-1,-1,-1,,"[missing data]","[missing data]","[missing data]",10000,0,0,0,0
0,0,0,,"未詳",U,undetermined,9999,99,99,99,99
2,303,303,,"直系祖先",G-n,"G-n, lineal ancestor, generation unknown",50,99,0,0,0
3,301,-10000,,"妻之直系祖先",WG-n,"Ancestor of wife",150,99,0,1,0
4,304,304,,"同族長輩",K-n,"Lineage ancestor,  generation undefined",50,2,1,0,2
6,305,-10000,,"妻之同族祖先",WK-n,"Wife's lineage ancestor, generation undefined",150,2,1,1,2
8,301,-10000,,"第一任妻之直系祖先",W1G-n,"W1G-n Wife's ancestor, generation undefined",9999,99,0,1,0
9,299,299,,"四十三世祖",G-43,G-43,9999,43,0,0,0
10,298,298,,"四十二世祖",G-42,G-42,9999,42,0,0,0
11,297,297,,"三十八世祖",G-38,G-38,9999,38,0,0,0
12,296,296,,"三十五世祖",G-35,G-35,9999,35,0,0,0
13,295,295,,"三十世祖",G-30,G-30,9999,30,0,0,0
14,294,294,,"二十七世祖",G-27,G-27,9999,27,0,0,0
15,293,293,,"二十二世祖",G-22,G-22,9999,22,0,0,0
16,292,292,,"十九世祖",G-19,G-19,9999,19,0,0,0
17,291,291,,"十八世祖",G-18,G-18,9999,18,0,0,0
18,289,-10000,G+17H,"妻之十七世祖",WG-17,WG-17,9999,17,0,1,0
19,290,290,,"十七世祖",G-17,G-17,9999,17,0,0,0
20,288,288,,"十六世祖",G-16,G-16,9999,16,0,0,0
21,287,287,,"十五世祖",G-15,G-15,9999,15,0,0,0
22,286,286,,"十四世祖",G-14,G-14,9999,14,0,0,0
23,285,285,,"十三世祖",G-13,G-13,9999,13,0,0,0
24,284,284,,"十二世祖",G-12,G-12,9999,12,0,0,0
25,283,283,,"十一世祖",G-11,G-11,9999,11,0,0,0
26,282,282,,"十世祖",G-10,G-10,9999,10,0,0,0
27,280,280,,"九世叔伯祖",G-9B,G-9B,9999,9,0,0,1
28,281,281,,"九世祖;太高曾祖",G-9,G-9,9999,9,0,0,0
29,279,279,,"八世祖;太高祖",G-8,G-8,9999,8,0,0,0
30,278,278,,"八世叔伯祖",G-8B,"G-8B Brother of 8th generation ancestor",9999,8,0,0,1
31,277,277,,"七世祖;太曾祖",G-7,G-7,9999,7,0,0,0
32,276,-10000,G+7H,"妻之七世祖",WG-7,WG-7,9999,7,0,1,0
33,271,-1,BSSSSD,"五世叔伯祖",FFFFFB,"G-5B FFFFFB",9999,5,0,0,1
34,-1,-10000,BG+6H,"妻之六世叔伯祖",WG-6B,WG-6B,9999,6,0,1,1
36,272,272,,"六世祖;太祖",G-6,G-6,9999,6,0,0,0
38,275,275,,"同族六世祖",K-6,"Lineage kin, 6 generations earlier",9999,7,1,0,1
39,263,368,SSSD,"高祖;四世祖",FFFF,FFFF,-6,4,0,0,0
40,266,-10000,,"妻之高祖",WFFFF,"Wife's great great grandfather",9999,4,0,1,0
41,267,-1,BSSSD,"四世伯叔祖;高伯叔祖父",FFFFB,"FFFFB G-4B",9999,4,0,0,1
42,265,-1,SSDD,"外高祖父",MFFF,MFFF,9999,4,0,0,0
44,264,-10000,,"妻之四世叔伯祖",WFFFFB,"Brother of wife's great great grandfather",9999,4,0,1,1
46,260,260,,"同族四世祖",K-4,"Lineage kin, 4 generations earlier",9999,5,1,0,1
47,269,269,,"同族五世祖",K-5,"Lineage kin, 5 generations earlier",9999,6,1,0,1
48,255,347,,"曾祖",FFF,FFF,-5,3,0,0,0
49,256,-10000,,"妻之曾祖",WFFF,WFFF,23,3,0,1,0
50,253,418,BSSD,"曾伯叔祖;從曾祖",FFFB,FFFB,9999,3,0,0,1
51,254,-10000,,"妻之曾叔伯祖",WFFFB,WFFFB,9999,3,0,1,1
52,252,-1,"SDS, SDD","外曾祖父",MFF,MFF,-9,3,0,0,0
56,256,-10000,,"第二任妻之曾祖",W2FFF,W2FFF,9999,3,0,1,0
57,256,-10000,,"第三任妻之曾祖",W3FFF,W3FFF,9999,3,0,1,0
58,259,-1,FBSSSD,"曾祖之從兄弟;再從曾祖",FFFFBS,FFFFBS,,4,1,0,1
59,256,-10000,,"第一任妻之曾祖",W1FFF,W1FFF,9999,3,0,1,0
61,261,-10000,,"得許娶曾孫女",W%FFF,"Great grandfather of betrothed",,3,0,1,0
62,243,251,,"祖父",FF,FF,-4,2,0,0,0
63,244,-10000,,"妻之祖父",WFF,WFF,22,2,0,1,0
64,240,459,,"從祖;伯叔祖",FFB,FFB,9999,2,0,0,1
65,245,-10000,,"妻之叔伯祖",WFFB,WFFB,9999,2,0,1,1
66,238,372,,"外祖父",MF,"MF Mother's father",-7,2,0,0,0
67,239,-10000,,"岳母之父",WMF,"WMF Wife's mothers's father",9999,2,0,1,0
70,248,-10000,,"許妻以孫女",W%FF,"Grandfather of Betrothed",9999,2,0,1,0
72,244,-10000,,"第一任妻之祖",W1FF,W1FF,22,2,0,1,0
73,250,-1,LK+2(female),"族祖父;族父的父親,即祖父的堂兄弟",K-2(male),"Lineage granduncle",9999,3,1,0,0
74,244,-10000,,"第二任妻之祖",W2FF,W2FF,22,2,0,1,0
75,180,176,,"父",F,"F Father",-1,1,0,0,0
76,181,-10000,,"岳父",WF,WF,21,1,0,1,0
77,179,366,,"母舅",MB,"MB Mother's brother",9999,1,0,0,1
78,-1,-1,"WBDS,WBDD","外祖姑之夫;外祖父的姐妹之夫",MFZH,MFZH,9999,2,0,1,1
79,177,330,,"從父;伯叔父",FB,"FB Father's brother",9999,1,0,0,1
80,178,-10000,,"妻之叔伯",WFB,WFB,9999,1,0,1,1
82,186,-10000,,"嗣父",F*,"F* Father, adopting heir",-2,1,0,0,0
84,190,463,,"再從父;堂伯叔父",FFBS,FFBS,,2,1,0,1
86,197,-10000,,"許妻以女",W%F,"Father of betrothed",200,1,0,1,0
87,181,-10000,,"第一任妻父",W1F,"W1F Father of W1",21,1,0,1,0
88,181,-10000,,"第二任妻父",W2F,W2F,21,1,0,1,0
90,178,-10000,,"第一任妻之叔伯",W1FB,W1FB,9999,1,0,1,1
91,178,-10000,,"第二任妻之叔伯",W2FB,W2FB,9999,1,0,1,1
92,181,-10000,,"第三任妻父",W3F,W3F,9999,1,0,1,0
93,210,471,FFBSSD,"族姑",K-1(female),"Lineage aunt",9999,2,1,0,1
94,232,-10000,,"妻之母舅",WMB,"WMB Wife's mother's brother",9999,1,0,1,1
96,181,-10000,,"第四任妻父",W4F,W4F,9999,1,0,1,0
97,210,471,FFBSSD,"族父",K-1(male),"Lineage uncle",9999,2,1,0,1
98,214,376,,"繼父",F^,"F^ Stepfather",-2,1,0,0,0
100,181,-10000,,"妾之父",CF,"Father of Consort",,1,0,1,0
103,104,-1,BDH%M,"兒子未婚妻之伯叔父",SW%FB,"Son's troth's uncle",9999,1,1,1,1
104,103,-1,SW%FZ,"姪女未婚夫之父",BDH%F,"Niece's troth's father",9999,1,1,1,1
105,223,-10000,,"妻之姨夫",WMZH,WMZH,9999,1,0,2,1
107,436,227,,"養父","F°","Adopting father",,1,0,0,0
111,180,176,,"母",M,"M Mother",-3,1,0,0,0
112,181,-10000,,"第五任妻父",W5F,W5F,9999,1,0,1,0
117,117,117,,"姻親",A,"Affinal kin",150,0,0,1,1
118,118,374,,"兄弟",B,"B Brother",1,0,0,0,1
119,119,-1,FBD,"從兄弟;堂兄弟",FBS,"FBS Father's brother's son",9999,1,1,0,1
121,405,-1,FZD,"舅表兄弟",MBS,MBS,9999,1,1,0,1
125,126,169,,"兄",B+,"B+  Brother, elder",2,0,0,0,1
126,125,164,,"弟",B-,"B– Brother, younger",3,0,0,0,1
127,128,-1,MBD+,"姑表弟",FZS-,"FZS–",9999,1,1,0,1
128,127,-1,FZD-,"舅表兄",MBS+,MBS+,9999,1,1,0,1
130,131,417,FBD+,"從弟",FBS-,"FBS– Father's brother's son, younger",9999,1,1,0,1
131,130,416,FBD-,"從兄",FBS+,"FBS+ Father's brother's son, elder",9999,1,1,0,1
132,133,-1,FFBSD+,"再從弟",FFBSS-,"FFBSS–",9999,2,2,0,1
133,132,-1,FFBSD-,"再從兄",FFBSS+,FFBSS+,9999,2,2,0,1
134,-10000,135,"Possibly 168","丈夫",H,"H Husband",0,0,0,1,0
135,134,-10000,,"妻子",W,"W Wife",0,0,0,1,0
136,385,384,,"姐夫",Z+H,"Z+H Sister, elder, husband of",4,0,0,1,1
137,159,-10000,,"妻兄",WB+,WB+,17,0,0,1,1
138,134,-10000,,"第一任妻",W1,"W1 Wife, first",16,0,0,1,0
141,142,-1,WMZD,"姨表姊妹之夫",MZDH,MZDH,9999,1,1,1,1
142,141,-10000,,"岳母之外甥;妻之姨表兄弟",WMZS,WMZS,9999,1,1,1,1
143,144,462,,"族兄",K+(male),"Lineage cousin, elder, male",9999,2,2,0,1
144,143,461,,"族弟",K-(male),"Lineage cousin, younger, male",9999,2,2,0,1
147,147,147,,"族人(輩分不詳)",Kn,"Lineage kin, generation unknown",,2,2,1,1
149,447,447,,"自謂...之後","G-n (claimed)","Claimed agnatic ancestor",900,10,0,0,0
150,151,382,,"同母異父弟","B½-","Younger half-brother, by the same mother",,0,0,0,1
151,150,438,,"同母異父兄","B½+","Elder half-brother, by the same mother",,0,0,0,1
152,162,-10000,,"內兄弟;妻兄弟",WB,"WB Wife's brother",17,0,0,1,1
153,162,-10000,,"第二任妻兄弟",W2B,W2B,17,0,0,1,1
156,157,-10000,,"妻之堂兄弟",WFBS,WFBS,9999,1,1,1,1
157,156,-1,WFBD,"堂姊妹之夫",FBDH,"FBDH Father's brother's daughter's husband",9999,1,1,1,1
158,159,-10000,,"第二任妻兄",W2B+,W2B+,9999,0,0,1,1
159,137,383,,"妹夫",Z-H,"Z–H Younger sister'shusband",4,0,0,1,1
162,152,386,,"姊妹夫",ZH,"ZH Sister's husband",4,0,0,1,1
163,134,-10000,,"第二任妻",W2,W2,16,0,0,1,0
164,126,169,,"姊",Z+,Z+,4,0,0,0,1
165,126,169,,"長兄",B1,"B1 Brother, eldest",2,0,0,0,1
166,125,164,,"季弟",By,"By, Youngest brother",,0,0,0,1
167,167,-1,FFBSD,"再從兄弟",FFBSS,FFBSS,9999,2,2,0,1
168,134,-10000,,"妾",C,"C Concubine",0,0,0,1,0
169,125,164,,"妹",Z-,"Z–",4,0,0,0,1
170,170,381,,"同母異父兄弟","B½","B½ half-brothers, by the same mother",,0,0,0,1
171,172,379,,"繼弟",B-^,"B–^ stepbrother, younger",3,0,0,0,1
172,171,380,,"繼兄",B+^,"B+^ stepbrother,  elder",2,0,0,0,1
173,173,-10000,,"連襟;妻姊妹之夫",WZH,WZH,20,0,0,2,1
176,75,111,,"女兒",D,D,6,0,1,0,0
177,79,331,,"從子;姪子",BS,"BS Brother's son",9999,0,1,0,1
178,80,558,WFZ,"姪女之夫",BDH,"BDH Brother's daughter's husband",9999,0,1,1,1
179,77,365,,"外甥",ZS,"ZS Sister's son",9999,0,1,0,1
180,75,111,,"子",S,"S Son",5,0,1,0,0
181,76,364,,"女婿",DH,"DH Daughter's husband",7,0,1,1,0
182,75,111,,"長子; 第一子",S1,"S1, Son, first",5,0,1,0,0
183,75,111,,"次子",S2,S2,5,0,1,0,0
184,75,111,,"三子",S3,S3,5,0,1,0,0
185,75,111,,"四子",S4,S4,5,0,1,0,0
186,82,378,,"過繼的嗣子",S*,"S* Son, adopted as heir",5,0,1,0,0
188,75,111,,"季子",Sn,"Sy, Youngest known son",5,0,1,0,0
190,84,-1,FFBD,"堂姪;從姪",FBSS,FBSS,9999,1,2,0,1
191,75,111,,"五子",S5,S5,5,0,1,0,0
193,75,111,,"獨子","S (only son)","S (only son)",9999,0,1,0,0
194,75,111,,"六子",S6,S6,9999,0,1,0,0
195,75,111,,"十子",S10,S10,9999,0,1,0,0
196,75,111,,"七子",S7,S7,9999,0,1,0,0
197,86,-1,W%M,"得許娶其女",DH%,"DH%  Betrothed of D",200,0,1,1,0
198,75,111,,"唯一幸存的兒子","S (only surviving son)","S(surviving) only survivng son",9999,0,1,0,0
199,75,111,,"八子",S8,S8,9999,0,1,0,0
201,76,364,,"第二任女婿",DH2,DH2,9999,0,1,1,0
202,75,111,,"二十五子",S25,S25,9999,0,1,0,0
204,75,111,,"庶子",CS,"CS Concubine's son",5,0,1,0,0
205,75,111,,"十三子",S13,S13,9999,0,1,0,0
206,75,111,,"九子",S9,S9,9999,0,1,0,0
207,75,111,,"十一子",S11,S11,9999,0,1,0,0
210,97,93,,"族子",K+1(male),"Lineage nephew",9999,1,2,0,1
211,75,111,,"二十子",S20,S20,9999,0,1,0,0
212,75,111,,"十七子",S17,S17,9999,0,1,0,0
213,75,111,,"二十三子",S23,S23,9999,0,1,0,0
214,98,375,,"繼子",S^,"S^ Son, stepson",5,0,1,0,0
220,75,111,,"幸存的長子","S (eldest surviving son)","S(eldest surviving)",9999,0,5,0,0
221,75,111,,"十二子",S12,S12,9999,0,1,0,0
222,75,111,,"二十四子",S24,S24,9999,0,1,0,0
223,105,-10000,,"妻之甥女婿",WZDH,WZDH,9999,0,1,2,1
224,76,364,,"第一任女婿",DH1,"DH1 Daughter's first husband",9999,0,1,1,0
226,363,377,,"私生子",S!,"S! Bastard son",9999,0,1,0,0
227,107,437,,"養女","D°","Daughter, adopted",6,0,1,0,0
229,75,111,,"十六子",S16,S16,9999,0,1,0,0
230,75,111,,"二女",D2,D2,6,0,1,0,0
231,75,111,,"二十二子",S22,S22,9999,0,1,0,0
232,94,-1,WMZ,"甥女婿;姊妹之女婿",ZDH,"ZDH Sister's daughter's husband",9999,0,1,1,1
234,75,111,,"十五子",S15,S15,9999,0,1,0,0
235,75,111,,"二十一子",S21,S21,9999,0,1,0,0
238,66,371,,"外孫",DS,"DS Daughter's son",8,0,2,0,0
239,67,-1,WMM,"外孫女婿",DDH,DDH,9999,0,2,1,0
240,64,469,,"姪孫;從孫",BSS,"BSS BG+2",9999,0,2,0,1
243,62,370,,"孫",SS,"SS Son's son",8,0,2,0,0
244,63,-1,WFM,"孫女婿",SDH,SDH,8,0,2,1,0
245,65,-10000,,"姪孫女之夫",BSDH,"Grandniece's husband",9999,0,2,1,1
248,70,-1,W%FM,"得許娶其孫女",SDH%,"SDH%   Betrothed of SD",200,0,2,1,0
250,73,460,,"族孫",K+2(male),"Lineage grandnephew",9999,1,3,0,1
251,62,370,,"孫女",SD,"SD Son's daughter",8,0,2,0,0
252,52,-1,"MMF,MMM","外孫女之子",DDS,DDS,9999,0,3,0,0
253,50,470,,"曾姪孫;從曾孫",BSSS,"BSSS BG+3",9999,0,3,0,1
254,51,-1,WFFFZ,"曾姪孫女婿",BSSDH,BSSDH,9999,0,3,1,1
255,48,369,,"曾孫; 重孫",SSS,SSS,9,0,3,0,0
256,49,-1,WFFM,"曾孫女婿",SSDH,SSDH,9999,0,3,1,0
259,58,-1,FFFFBD,"再從曾孫;堂姪曾孫",FBSSSS,FBSSSS,9999,1,4,0,1
260,46,46,,"同族四世孫",K+4,"Lineage kin, 4 generations later",9999,1,5,0,1
261,61,-1,"From 261","許妻以曾孫女",SSDH%,"Betrothed of SSD",9999,0,3,1,0
262,41,-1,FFFFZ,"從玄孫",BSSSS,"BSSSS BG+4",,0,4,0,1
263,39,367,,"玄孫;四世孫",SSSS,SSSS,9999,0,4,0,0
264,44,-1,"WFFFFB,WFFFFZ","從玄孫女婿",BSSSDH,BSSSDH,9999,0,4,1,1
265,42,-1,MFFM,"曾孫女之子",SSDS,SSDS,9999,0,4,0,0
266,40,-1,WFFFM,"玄孫女婿",SSSDH,SSSDH,9999,0,4,1,0
267,41,480,,"從玄孫",BSSSS,"brother's great-great gs",9999,0,4,0,1
269,47,47,,"同族五世孫",K+5,"Lineage kin, 5 generations later",9999,1,6,0,1
270,-1,-1,"WFFFFFB,WFFFFFZ","從來孫女婿",BSSSSDH,BSSSSDH,9999,0,5,1,1
271,33,-1,FFFFFZ,"從來孫",BSSSSS,"BG+5  Brother's 5th generation lineal descendant",9999,0,5,0,1
272,36,-1,G-6W,"六世孫;昆孫",G+6,G+6,9999,6,0,0,0
275,38,38,,"同族六世孫",K+6,"Lineage kin, 6 generations later",9999,1,7,0,1
276,32,-1,WG-7W,"七世孫婿",G+7H,"G+7H Husband of 7th generation lineal descendant",9999,7,0,1,0
277,31,-1,G-7W,"七世孫;仍孫",G+7,G+7,9999,7,0,0,0
278,30,-1,G-8Z,"兄弟之八世孫",BG+8,BG+8,9999,8,0,0,1
279,29,-1,G-8W,"八世孫;雲孫",G+8,G+8,9999,8,0,0,0
280,27,-1,G-9Z,"兄弟之九世孫",BG+9,BG+9,9999,9,0,0,1
281,28,-1,G-9W,"九世孫",G+9,G+9,9999,9,0,0,0
282,26,-1,G-10W,"十世孫",G+10,G+10,9999,10,0,0,0
283,25,-1,G-11W,"十一世孫",G+11,G+11,9999,11,0,0,0
284,24,-1,G-12W,"十二世孫",G+12,G+12,9999,12,0,0,0
285,23,-1,G-13W,"十三世孫",G+13,G+13,9999,13,0,0,0
286,22,-1,G-14W,"十四世孫",G+14,G+14,9999,14,0,0,0
287,21,-1,G-15W,"十五世孫",G+15,G+15,9999,15,0,0,0
288,20,-1,G-16W,"十六世孫",G+16,G+16,9999,16,0,0,0
289,18,-1,WG-17W,"十七世孫婿",G+17H,G+17H,9999,17,0,1,0
290,19,-1,G-17W,"十七世孫",G+17,G+17,9999,17,0,0,0
291,17,-1,G-18W,"十八世孫",G+18,G+18,9999,18,0,0,0
292,16,-1,G-19W,"十九世孫",G+19,G+19,9999,19,0,0,0
293,15,-1,G-22W,"二十二世孫",G+22,G+22,9999,22,0,0,0
294,14,-1,G-27W,"二十七世孫",G+27,G+27,9999,27,0,0,0
295,13,-1,G-30W,"三十世孫",G+30,G+30,9999,30,0,0,0
296,12,-1,G-35W,"三十五世孫",G+35,G+35,9999,35,0,0,0
297,11,-1,G-38W,"三十八世孫",G+38,G+38,9999,38,0,0,0
298,10,-1,G-42W,"四十二世孫",G+42,G+42,9999,42,0,0,0
299,9,-1,G-43W,"四十三世孫",G+43,G+43,9999,43,0,0,0
301,3,3,,"直系後裔之夫",G+nH,"G+nH Husband of a lineal descendant, generation undefined",9999,0,99,1,0
303,2,2,,"直系後裔",G+n,"G+n, lineal descendant, generation undefined",50,0,99,0,0
304,4,4,,"同族晚輩",K+n,"Lineage descendant, generation undefined",50,2,2,0,1
305,6,6,,"同族晚輩之夫",K+nH,"Husband of lineage descendant, generation undefined",9999,2,2,1,1
307,75,111,,"十四子",S14,S14,9999,0,1,0,0
308,157,-10000,,"第一任妻之堂兄弟",W1FBS,W1FBS,9999,1,1,1,1
309,157,-10000,,"第二任妻之堂兄弟",W2FBS,W2FBS,9999,1,1,1,1
312,244,-10000,,"第三任妻之祖",W3FF,W3FF,9999,2,0,1,0
315,178,-10000,,"妾之叔伯",CFB,"Concubine's father's brother",,1,0,1,1
320,321,-10000,,"妻之族兄弟姊妹",WK,"Wife's lineage cousin",,2,2,1,1
321,320,320,,"族姊妹之夫",KH,"Lineage cousin's husband",,2,2,1,1
323,162,-10000,,"妾之兄弟",CB,"Concubine's brother",,0,0,1,1
325,325,419,,"族兄弟",K(male),"Lineage cousin",9999,2,2,0,1
326,75,111,,"十九子",S19,S19,9999,0,1,0,0
327,75,111,,"長女",D1,"D1 Daughter, first",6,0,1,0,0
329,75,111,,"三女",D3,D3,6,0,1,0,0
330,79,331,,"從女;姪女",BD,"BD1  Brother's daughter",9999,0,1,0,1
331,177,330,,"姑母",FZ,"Father's sister",9999,1,0,0,1
332,76,364,,"長女婿",D1H,"D1H First daughter's husband",7,0,1,1,0
333,76,364,,"二女婿",D2H,D2H,7,0,1,1,0
