c_kincode,c_kin_pair1,c_kin_pair2,c_kin_pair_notes,c_kinrel_chn,c_kinrel,c_kinrel_alt,c_pick_sorting,c_upstep,c_dwnstep,c_marstep,c_colstep
334,75,111,,"四女",D4,D4,9999,0,1,0,0
335,75,111,,"五女",D5,D5,9999,0,1,0,0
336,76,364,,"四女婿",D4H,D4H,9999,0,1,1,0
337,76,364,,"五女婿",D5H,D5H,9999,0,1,1,0
338,76,364,,"三女婿",D3H,D3H,7,0,1,1,0
339,75,111,,"十八子",S18,S18,9999,0,1,0,0
340,360,-1,G-46W,"四十六世孫",G+46,G+46,9999,46,0,0,0
341,342,-10000,,"未婚妻",W%,"W%  Betrothed maiden",200,0,0,1,0
342,-10000,341,,"未婚夫",H%,"H%  Betrothed lad",200,0,0,1,0
343,75,111,,"獨女","D (only daughter)","D (only daughter)",9999,0,1,0,0
344,134,-10000,,"第三任妻",W3,W3,9999,0,0,1,0
345,-10000,135,"Possibly 168","第一任丈夫",H1,"H1 Husband, first",9999,0,0,1,0
346,-10000,135,"Possibly 168","第二任丈夫",H2,H2,9999,0,0,1,0
347,48,369,,"曾孫女",SSD,SSD,9999,0,3,0,0
348,349,349,,"二十三世祖",G-23,G-23,9999,23,0,0,0
349,348,-1,G-23W,"二十三世孫",G+23,G+23,9999,0,23,0,0
350,351,351,,"二十世祖",G-20,G-20,9999,20,0,0,0
351,350,-1,G-20W,"二十世孫",G+20,G+20,9999,0,20,0,0
352,353,353,,"二十一世祖",G-21,G-21,9999,21,0,0,0
353,352,-1,G-21W,"二十一世孫",G+21,G+21,9999,0,21,0,0
354,355,355,,"三十六世祖",G-36,G-36,9999,36,0,0,0
355,354,-1,G-36W,"三十六世孫",G+36,G+36,9999,0,36,0,0
356,76,364,,"六女婿",D6H,D6H,9999,0,1,1,0
357,76,364,,"七女婿",D7H,D7H,9999,0,1,1,0
358,76,364,,"八女婿",D8H,D8H,9999,0,1,1,0
359,76,364,,"九女婿",D9H,D9H,9999,0,1,1,0
360,340,340,,"四十六世祖",G-46,G-46,9999,46,0,0,0
361,362,361,,"繼姊妹",Z^,"Z^ Stepsister",4,0,0,0,1
362,362,361,,"繼兄弟",B^,"B^ Stepbrother",1,0,0,0,1
363,226,373,,"私生子之本生父",F!,"F! Father of bastard",900,1,1,0,0
364,181,-10000,,"岳母",WM,"WM Wife's mother",21,1,0,1,0
365,179,366,,"姨;從母",MZ,"MZ Mother's sister",20,1,0,0,1
366,77,365,,"甥女",ZD,"ZD Sister's daughter",10000,0,1,0,1
367,263,368,,"高祖母",FFFM,FFFM,-6,4,0,0,0
368,39,263,,"玄孫女",SSSD,SSSD,10000,0,4,0,0
369,255,347,,"曾祖母",FFM,"FFM same as FFFW",-5,3,0,0,0
370,243,251,,"祖母",FM,FM,-4,2,0,0,0
371,238,372,,"外祖母",MM,"MM Mother's mother",-8,2,0,0,0
372,66,371,,"外孫女",DD,"DD Daughter's daughter",8,0,2,0,0
373,363,377,,"私生女",D!,"D! Bastard daughter",10000,0,1,0,0
374,118,374,,"姊妹",Z,"Z Sister",4,0,0,0,1
375,214,376,,"繼母",M^,"M^ Stepmother",10000,1,0,0,0
376,98,375,,"繼女",D^,"D^ Daughter, stepdaughter",10000,0,1,0,0
377,226,373,,"私生子女之本生母",M!,"M! Mother of a bastard",10000,1,1,0,0
378,186,227,,"嗣母",M*,"M* Mother, adopting heir",-3,1,0,0,0
379,171,380,,"繼姊",Z+^,"Z+^ Stepsister, elder,",10000,0,0,0,1
380,172,379,,"繼妹",Z-^,"Z–^ Stepsister, younger",10000,0,0,0,1
381,170,381,,"同母異父姊妹","Z½","Z½ half-sister, by the same mother",10000,0,0,0,1
382,150,438,,"同母異父姊","Z½+","Elder half-sister, by the same mother",,0,0,0,1
383,159,-10000,,"妻姊",WZ+,WZ+,10000,0,0,1,1
384,136,-10000,,"妻妹",WZ-,"WZ–",10000,0,0,1,1
385,136,-10000,,"妻弟",WB-,"WB–",10000,0,0,1,1
386,162,-10000,,"妻之姊妹",WZ,"WZ Wife's sister",10000,0,0,1,1
387,388,388,,"五十世祖",G-50,G-50,10000,50,0,0,0
388,387,-1,G-48W,"五十世孫",G+50,G+50,,0,50,0,0
389,390,390,,"四十七世祖",G-47,G-47,10000,47,0,0,0
390,389,-1,G-47W,"四十七世孫",G+47,G+47,10000,0,47,0,0
391,392,392,,"四十五世祖",G-45,G-45,10000,45,0,0,0
392,391,-1,G-45W,"四十五世孫",G+45,G+45,10000,0,45,0,0
393,394,394,,"四十四世祖",G-44,G-44,10000,44,0,0,0
394,393,-1,G-44W,"四十四世孫",G+44,G+44,10000,0,44,0,0
395,-10000,396,,"翁;公公;丈夫之父",HF,HF,10000,1,0,1,0
396,395,399,,"子婦;兒媳",SW,SW,10000,0,1,1,0
397,398,398,,"五世祖;高曾祖",G-5,"G-5 5th generation ancestor",10000,5,0,0,0
398,397,-1,G-5W,"五世孫;來孫",G+5,"G+5 5th generation lineal descendant",10000,0,5,0,0
399,-10000,396,,"丈夫之母;婆婆",HM,HM,,1,0,1,0
400,434,435,,"伯叔母",FBW,"FBW Father's brother's wife",10000,1,0,1,1
401,426,-10000,,"妻之從子",WBS,"Wife's brother's son",10000,0,1,1,1
402,426,-10000,,"妻之從女",WBD,"Wife's brother's daughter",10000,0,1,1,1
403,410,413,,"表兄",P+(male),"FZS+ or MBS+ or MZS+",10000,1,1,0,1
404,415,-1,MBD-,"姑表兄",FZS+,FZS+,10000,1,1,0,1
405,121,-1,MBD,"姑表兄弟",FZS,FZS,10000,1,1,0,1
406,406,431,,"姨表兄弟",MZS,MZS,10000,1,1,0,1
407,408,-1,MZD+,"姨表弟",MZS-,MZS-,10000,1,1,0,1
408,407,-1,MZD-,"姨表兄",MZS+,MZS+,10000,1,1,0,1
410,403,412,,"表弟",P-(male),"FZS- or MBS- or MZS-",10000,1,1,0,1
411,411,414,,"表兄弟",P(male),"FZS or MBS or MZS",10000,1,1,0,1
412,410,413,,"表姐",P+(female),"FZD+ or MBD+ or MZD+",10000,1,1,0,1
413,403,412,,"表妹",P-(female),"FZD– or MBD– or MZD-",10000,1,1,0,1
414,411,414,,"表姐妹",P(female),"FZD or MBD or MZD",10000,1,1,0,1
415,404,-1,FZD+,"舅表弟",MBS-,"MBS–",10000,1,1,0,1
416,131,417,,"從妹",FBD-,"FBD– Father's brother's daughter, younger",10000,1,1,0,1
417,130,416,,"從姊",FBD+,"FBD+ Father's brother's daughter, elder",10000,1,1,0,1
418,50,470,,"曾姪孫女",BSSD,BSSD,10000,0,3,0,1
419,325,419,,"族姊妹",K(female),"Lineage cousin, female",10000,2,2,0,1
420,180,176,,"嫡母",M~,"M~ Mother, nominal; legitimate wife as nominal mother to children of concubine",10000,1,0,0,0
421,422,-1,,"表姪",P+1(male),"FZSS or MBSS or MZSS",,1,2,0,1
422,421,-1,,"表叔伯",P-1(male),"FMBS or FFZS or  FMZS",,2,1,0,1
423,-10000,424,,"夫之姐妹",HZ,"HZ Sister of husband",,0,0,1,1
424,425,423,,"兄弟之妻",BW,"BW Brother's wife",,0,0,1,1
425,-10000,424,,"夫之兄弟",HB,HB,,0,0,1,1
426,401,402,,"姑父",FZH,FZH,,1,0,1,1
427,428,-1,ZSD,"舅公;父或母之舅",FMB,FMB,,2,0,0,1
428,427,-1,FMZ,"甥孫",ZSS,ZSS,,0,2,0,1
429,430,-1,BDD,"外祖父之兄弟",MFB,MFB,,2,0,0,1
430,429,-1,MFZ,"弟之外孫",BDS,"BDS Brother's daughter's son",,0,2,0,1
431,406,431,,"姨表姊妹;從母妹",MZD,MZD,,1,1,0,1
432,433,-1,DSD,"父之外祖",FMF,FMF,,3,0,0,0
433,432,-1,FMM,"外孫之子",DSS,DSS,,0,3,0,0
434,-10000,400,,"夫之從子",HBS,"Husband's brother's son",,0,1,1,1
435,-10000,400,,"夫之從女",HBD,"Husband's brother's daughter",,0,1,1,1
436,107,437,,"養子(非嗣子)","S°","Son, adopted (not as heir)",,0,1,0,0
437,436,227,,"養母","M°","Adopting mother",,1,0,0,0
438,151,382,,"同母異父妹","Z½-","Younger half-sister, by the same mother",,0,0,0,1
439,440,-1,FM*,"過繼的嗣孫",SS*,"Grandson, adopted as heir",,0,2,0,0
440,439,-10000,,"嗣祖父",FF*,"Grandfather, adopting heir",,2,0,0,0
441,442,-1,SWM,"女婿之父",DHF,"Daughter's father-in-law",,1,1,1,0
442,441,-1,DHM,"兒媳之父",SWF,"Son's father-in-law",,1,1,1,0
443,444,-1,LK-3(female),"族曾孫",K+3(male),"Lineage great grandnephew",,1,4,0,1
444,443,-1,LK+3(female),"族曾祖",K-3(male),"Lineage great granduncle",,4,1,0,1
445,446,-1,FFFBD,"再從孫;堂姪孫",FBSSS,"Father's brother's great grandson",9999,1,3,0,1
446,445,-1,FBSSD,"祖父之從兄弟;再從祖",FFFBS,FFFBS,,3,1,0,1
447,149,149,,"後裔(自稱)","G+n (claimed)","Self-claimed agnatic descendant",,0,99,0,0
450,75,111,,"十三女",D13,D13,6,0,1,0,0
451,75,111,,"六女",D6,D6,6,0,1,0,0
452,75,111,,"七女",D7,D7,6,0,1,0,0
453,75,111,,"八女",D8,D8,6,0,1,0,0
454,75,111,,"九女",D9,D9,6,0,1,0,0
455,75,111,,"十女",D10,D10,6,0,1,0,0
456,75,111,,"十一女",D11,D11,6,0,1,0,0
457,75,111,,"十二女",D12,D12,6,0,1,0,0
458,75,111,,"十四女",D14,D14,6,0,1,0,0
459,64,469,,"姪孫女",BSD,"BSD Brother's son's daughter",9999,0,2,0,1
460,250,-1,LK+2(female),"族祖姑",K-2(female),"Lineage grandaunt",,3,1,0,1
461,144,462,,"族姊",K+(female),"Lineage cousin, elder, female",,2,2,0,1
462,143,461,,"族妹",K-(female),"Lineage cousin, younger, female",,2,2,0,1
463,84,-1,FFBD,"從姪女;堂姪女",FBSD,"FBSD Father's brother's son's daughter",,1,2,0,1
464,465,466,,"孫之妻  ","SSW  ","SSW  ",,0,2,1,0
465,-10000,464,,"夫之祖父  ","HFF  ","HFF  ",,2,0,1,0
466,-10000,464,,"夫之祖母  ","HFM  ","HFM  ",,2,0,1,0
467,134,-10000,,"第四任妻  ",W4,W4,,0,0,1,0
468,180,176,,"庶母  ",M(C),"M(C) Mother who is concubine",,1,0,0,0
469,240,459,,"祖姑  ","FFZ  ","FFZ  ",,2,0,0,1
470,253,418,,"曾祖姑  ","FFFZ  ","FFFZ  ",,3,0,0,1
471,97,93,,"族女  ",K+1(female),"Lineage niece",,1,2,0,1
472,303,303,,"始祖;始遷祖","G-n (apical)","Apical ancestor",,99,0,0,0
473,474,-1,G-6BW,"六世從孫; 姪昆孫",BG+6,"Brother's 6th generation descendant",9999,0,6,0,1
474,473,473,,"太伯叔祖;六世叔伯祖",G-6B,"brother of 6th generation ancestor",9999,6,0,0,1
475,476,-1,G-7BW,"從七世孫",BG+7,"Brother's 7th generation descendant",9999,0,7,0,1
476,475,475,,"七世伯叔祖",G-7B,"brother of 7th generation ancestor",9999,7,0,0,1
480,267,267,BSSSD,"高祖姑母",FFFFZ,"Sister of great-great gf",9999,4,0,0,1
481,521,-1,HFFM,"曾孫媳婦",SSSW,"wife of great-great grandson",9999,0,3,1,0
482,522,522,,"二十四世祖",G-24,G-24,9999,24,0,0,0
483,523,523,,"二十五世祖",G-25,G-25,9999,25,0,0,0
484,524,524,,"二十六世祖",G-26,G-26,9999,26,0,0,0
485,525,525,,"二十八世祖",G-28,G-28,9999,28,0,0,0
486,526,526,,"二十九世祖",G-29,G-29,9999,29,0,0,0
487,527,527,,"五十七世祖",G-57,G-57,9999,57,0,0,0
488,528,528,,"五十八代祖",G-58,G-58,9999,58,0,0,0
489,529,529,,"六十八代祖",G-68,G-68,9999,68,0,0,0
490,530,530,,"十世伯叔祖",G-10B,"brother of 10th generation ancestor",9999,10,0,0,1
491,531,531,,"十二世伯叔祖",G-12B,"brother of 12th generation ancestor",9999,12,0,0,1
492,532,-1,FBDD,"堂舅;母亲的叔伯兄弟",MFBS,"Sister of mother's uncle",9999,2,1,0,1
493,-10000,533,FFMM,"外玄孫",DSSS,"great grandson of daughter",9999,0,4,0,0
494,398,398,,"高曾祖母",FFFFM,"great great grandfather's mother",9999,5,0,0,0
497,534,534,,"七十三代祖",G-73,G-73,9999,73,0,0,0
498,535,-1,HBSSD,"伯叔曾祖母",FFFBW,"great-grandfather's brother's wife",9999,3,0,1,1
499,536,-1,HBSD,"伯叔祖母",FFBW,"grandfather's brother's wife",9999,2,0,1,1
500,537,-1,FZHBSD,"伯叔祖母姪",FFBWBS,"grandfather's brother's wife's brother's son",9999,2,1,1,2
501,277,277,,"太祖母",G-7W,"wife of G-7",9999,7,0,0,0
502,279,279,,"太高祖母",G-8W,"wife of G-8",9999,8,0,0,0
503,278,278,,"太高祖父的姊妹",G-8Z,"sister of G-8",9999,8,0,0,1
504,-10000,538,,"夫堂姪",HFBSS,"Husband's father's brother's grandson",9999,1,2,1,1
505,539,-10000,,"妻舅祖",WFMB,"wife's father's mother brother",9999,2,0,1,1
507,303,303,,"始祖母",G-nW,"wife of G-n",9999,99,0,0,0
508,540,-10000,,"姪媳婦",BSW,"Brother's son's wife",9999,0,1,1,1
509,541,541,,"族侄媳",K+1W,"lineage nephew's wife",9999,1,2,1,2
510,542,-1,FZSSD,"曾祖母姪",FFMBS,"grandfather's mother's brother's son",9999,3,1,0,1
511,543,-1,FZSD,"祖母姪",FMBS,"father's mother's brother's son",9999,2,1,0,1
512,-10000,544,,"舅婆;父或母之舅母 FMBW/MMBW",FMBW,"father/mother's mother's brother's wife",9999,2,0,1,1
514,545,545,,"表姐妹婿",PH,"husband of FZD or MBD or MZD",9999,1,1,1,1
515,515,515,,"表親",Pn,"unspecified relation to father's sisters or mother's siblings",9999,1,1,0,1
516,177,330,,"伯;伯父",FB+,"an older brother of father",-4,1,0,0,1
517,177,330,,"叔;叔父","FB–","a younger brother of father",-4,1,0,0,1
518,240,459,,"伯祖;伯祖父",FFB+,"an older brother of grandfather",-5,2,0,0,1
519,240,459,,"叔祖;叔祖父","FFB–","a younger brother of grandfather",-5,2,0,0,1
521,-10000,481,,"夫之曾祖",HFFF,"great grandfather of husband",9999,3,0,1,0
522,482,-1,G-24W,"二十四世孫",G+24,G+24,9999,0,24,0,0
523,483,-1,G-25W,"二十五世孫",G+25,G+25,9999,0,25,0,0
524,484,-1,G-26W,"二十六世孫",G+26,G+26,9999,0,26,0,0
525,485,-1,G-28W,"二十八世孫",G+28,G+28,9999,0,28,0,0
526,486,-1,G-29W,"二十九世孫",G+29,G+29,9999,0,29,0,0
527,487,-1,G-57W,"五十七世孫",G+57,G+57,9999,0,57,0,0
528,488,-1,G-58W,"五十八世孫",G+58,G+58,9999,0,58,0,0
529,489,-1,G-68W,"六十八世孫",G+68,G+68,9999,0,68,0,0
530,490,-1,G-10BW,"十世姪孫",BG+10,"Brother's 10th generation descendant",9999,0,10,0,1
531,491,-1,G-12BW,"十二世姪孫",BG+12,"Brother's 12th generation descendant",9999,0,12,0,1
532,492,-1,MFBD,"堂姊妹之子",FBDS,"Son fo father's niece",9999,1,2,0,1
533,493,-1,DSSD,"曾祖母之父",FFMF,"great grandmother's father",9999,4,0,0,0
534,497,-1,G-73W,"七十三世孫",G+73,G+73,9999,0,73,0,0
535,-10000,498,,"夫之曾姪孫;夫之從曾孫",HBSSS,"Husband's brother's great-grandson",9999,0,3,1,1
536,-10000,499,,"夫之姪孫;夫之從孫",HBSS,"Husband's brother's grandson",9999,0,2,1,1
537,500,-1,FFBWBD,"姑父之姪孫;姑父之從孫",FZHBSS,"father's sister's husband's brother's grandson",9999,1,2,1,2
538,504,-10000,,"堂伯叔母",FFBSW,"grandfather's brother's son's wife",9999,2,1,1,1
539,-10000,505,,"外甥孫婿",ZSDH,"Sister's son's daughter's husband",9999,0,2,1,1
540,-10000,508,,,HFB,"Husband's father's brother",9999,1,0,1,1
541,-10000,509,,,HK-1,"Husband's lineage nephew",9999,1,2,1,1
542,510,-1,FFMBD,"姑母之曾孫;姑表兄弟之孫",FZSSS,"Father's sister's great-grandson",9999,1,3,0,1
543,511,-1,FMBD,"姑母之孫;姑表兄弟之子",FZSS,"Father's sister's grandson",9999,1,2,0,1
544,512,-10000,,"HZSS / HZSD / HZDS / HZDD",HZS,"Husband's sister's son",9999,0,1,1,1
545,514,-10000,,"妻之表兄弟姊妹",WP,"wife's father's sisters or mother's siblings",9999,1,1,1,1
546,547,-1,WSD,"姨父",MZF,"mother's sister's husband",9999,1,0,1,1
547,546,-10000,,"妻之外甥",WZS,"wife's sister's son",9999,0,1,1,1
548,552,-1,,"五十三世祖",G-53,G-53,10000,53,0,0,0
549,553,-1,,"五十四世祖",G-54,G-54,10000,54,0,0,0
550,554,-1,,"五十五世祖",G-55,G-55,10000,55,0,0,0
551,555,-1,,"五十六世祖",G-56,G-56,10000,56,0,0,0
552,548,-1,G-53W,"五十三世孫",G+53,G+53,10000,0,53,0,0
553,549,-1,G-54W,"五十四世孫",G+54,G+54,10000,0,54,0,0
554,550,-1,G-55W,"五十五世孫",G+55,G+55,10000,0,55,0,0
555,551,-1,G-56W,"五十六世孫",G+56,G+56,10000,0,56,0,0
556,546,10000,,"妻之外甥女",WZD,"wife's sister's daughter",9999,0,1,1,1
557,244,-10000,"對應 SDH 孫女婿","妻子的祖母",WFM,"wife's grandmother",10000,2,0,2,0
558,178,-10000,,"妻之姑母",WFZ,"wife's aunt",10000,1,0,1,1
559,135,-1,,"第三任丈夫",H3,"3rd husband",10000,0,0,1,0
560,75,111,,"嗣子(作為繼承人的兒子)",S,Heir,,0,1,0,0
561,562,-10000,,"妻之五世祖",WG-5,,,5,0,1,0
562,-10000,561,,"五世孫婿",G+5H,,,0,5,1,0
563,564,564,,"本生祖",FF!,"FF! Grandfather of bastard",,2,0,0,0
564,563,563,,"私生孫",SS!,"SS! Bastard grandson",,0,2,0,0
565,566,566,,"繼祖",FF^,"FF^ Step grandfather",,2,0,0,0
566,565,565,,"繼孫子",SS^,"SS^ Step grandson",,0,2,0,0
567,568,569,,"前母",M+,"M+ Father's late wife",,1,0,0,0
568,571,570,,"非親生子",S#,"S# Son of spouse not born to the subject",,0,1,0,0
569,571,570,,"非親生女",D#,"D# Daughter of spouse not born to the subject",,0,1,0,0
570,568,569,,"非親生母",M#,"M# Father's wife  not biologically related to the subject",,1,0,0,0
571,568,569,,"非親生父",F#,"F# Mother's husband not biologically related to the subject",,1,0,0,0
572,571,570,,"妾之子","S©","S© Son of concubine",,0,1,0,0
573,571,570,,"妾之女","D©","D© Daughter of concubine",,0,1,0,0
574,119,574,,"從姊妹",FBD,"Father's brother's daughter",,1,1,0,1
575,75,111,,"二十六子",S26,S26,9999,0,1,0,0
